naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
Classic cranachan,Juliette Lawrence Wilson,0-30,0-10,3,5.0,Vegetarian,Desserts
Classic crème caramel,Mary Berry,0-30,30-60,10,4.2,Vegetarian,Desserts
Classic crêpes suzette,Delia Smith,0-30,0-10,9,4.11,Vegetarian,Desserts
Classic fish pie with peas,James Martin,0-30,00-120,3,4.33,0,Main course
Classic lasagne ,Gennaro Contaldo,30-60,00-120,8,5.0,0,Main course
Classic latkes ,Annie Rigg,0-30,0-10,3,2.33,Vegetarian,Side dishes
Classic lemon tart,James Martin,30-60,60-120,5,5.0,Vegetarian,Desserts
Classic lemon tart,James Martin,00-120,60-120,1,5.0,Vegetarian,Desserts
Classic mayonnaise,Phil Vickery,0-30,0-10,0,0.0,Vegetarian,Other
Classic mojito,Antony Worrall Thompson,0-30,0,0,0.0,Vegetarian,Drinks and cocktails
Classic mushroom risotto,Angela Griffin,0-30,10-30,4,5.0,Vegetarian,Recipe
Classic pancakes with chocolate sauce,James Martin,0-30,0-10,8,4.88,Vegetarian,Desserts
Classic prawn cocktail with toasted rustic bread,James Tanner,0-30,0,0,0.0,0,Starters and nibbles
Classic quiche Lorraine,Rachel Allen,0-30,30-60,3,5.0,0,Main course
Classic rich chocolate sauce,Michel Roux,0-30,10-30,2,4.5,Vegetarian,Desserts
Classic rum baba,Matt Tebbutt,1-20,30-60,0,0.0,Vegetarian,Desserts
Classic sourdough,Paul Hollywood,00-120,30-60,19,3.95,Vegetarian,Cakes and baking
Classic summer berry sorbet,Angela Boggiano,00-120,0,4,2.75,Vegetarian,Desserts
Classic toad in the hole ,James Martin,overnight,30-60,3,5.0,0,Main course
Classic treacle tart,Richard Briers,1-20,60-120,0,0.0,Vegetarian,Desserts
Clementine and almond cake,Rick Stein,0-30,60-120,77,4.88,Vegetarian,Cakes and baking
Clementine and chestnut torte,Brendan Lynch,30-60,10-30,0,0.0,Vegetarian,Desserts
Clementine and cod curry,Nadiya Hussain,0-30,30-60,9,4.11,0,Main course
Clementine curd tart with a white chocolate mousse,Andi Oliver,00-120,10-30,1,2.0,Vegetarian,Desserts
Clementine rumtopf,Matt Tebbutt,overnight,30-60,0,0.0,Vegetarian,Desserts
Clementine syllabub and crêpes Suzette,James Martin,30-60,30-60,0,0.0,Vegetarian,Desserts
Clootie pudding,Nick Nairn,30-60,00-120,3,5.0,0,Desserts
Clotted cream rice pudding with caramelised pineapple,James Martin,0-30,30-60,1,5.0,Vegetarian,Desserts
Clotted cream rice pudding with raspberries and orange caramel,James Martin,0-30,30-60,0,0.0,Vegetarian,Desserts
Coarse country terrine,The Hairy Bikers,00-120,60-120,3,5.0,0,Starters and nibbles
Cobb salad,Matt Tebbutt,0-30,0-10,0,0.0,0,Light meals and snacks
Cobbled loaf,Kate Barmby,1-20,30-60,0,0.0,Vegetarian,Cakes and baking
"Cobnut, pear and sticky toffee tart",Paul Hollywood,30-60,30-60,0,0.0,Vegetarian,Desserts
"Cobnut, wild mushroom and chestnut stir fry",James Martin,0-30,10-30,0,0.0,0,Recipe
Cock-a-leekie soup,Patrick Williams,30-60,60-120,0,0.0,0,Light meals and snacks
Cockles marinière on garlic toast,Lesley Waters,0-30,0-10,0,0.0,0,Main course
"Cockles, laverbread and Welsh bacon",The Hairy Bikers,0-30,10-30,0,0.0,0,Light meals and snacks
Coconut and chocolate balls,Nadiya Hussain,0-30,10-30,4,4.0,Vegetarian,Light meals and snacks
Coconut and green chilli prawns,Antony Worrall Thompson,0-30,10-30,1,2.0,0,Main course
Coconut and lime macadamia cake,Bill Granger,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Coconut and mango smoothie,Nick Nairn,0-30,0,1,5.0,Vegetarian,Drinks and cocktails
"Coconut and prawn broth with rice, spinach and chilli",Paul Rankin,0-30,10-30,0,0.0,0,Light meals and snacks
Coconut and raspberry biscuits,Darina Allen and Rosemary Kearney,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Coconut and sticky rice pudding with lime and papaya salad,The Hairy Bikers,00-120,10-30,0,0.0,Vegetarian,Desserts
Coconut cake,Annie Rigg,30-60,30-60,13,3.85,Vegetarian,Cakes and baking
Coconut cauliflower with spiced lentils,Glynn Purnell,0-30,10-30,7,4.29,Vegetarian,Main course
"Coconut chicken with potatoes, peas, toasted almonds and fresh coriander",James Tanner,0-30,60-120,0,0.0,0,Main course
Coconut chilli chicken,Nigel Slater,0-30,10-30,15,4.8,0,Main course
Coconut crab with stone bass,James Martin,0-30,10-30,0,0.0,0,Main course
Coconut curry sauce,Shivi Ramoutar,0-30,10-30,31,4.32,Vegetarian,Recipe
Coconut fish curry,Gino D'Acampo,0-30,10-30,11,3.82,0,Main course
Coconut ice cream,Neneh Cherry and Andi Oliver,1-20,0-10,1,4.0,Vegetarian,Desserts
Coconut kisses with ginger filly Chantilly and a strawberry slice,Lorraine Pascale,0-30,60-120,4,5.0,Vegetarian,Cakes and baking
Coconut lentil dal with crispy cockles,Matt Tebbutt,0-30,30-60,0,0.0,0,Main course
Coconut macaroons,Jill Dupleix,0-30,10-30,3,5.0,Vegetarian,Cakes and baking
Coconut milk rice ,Paul Rankin,0-30,10-30,0,0.0,Vegetarian,Recipe
Coconut pancakes with mango and passion fruit curd ,Michel Roux Jr.,0-30,10-30,2,4.5,Vegetarian,Desserts
Coconut poussin with green vegetables,Matt Tebbutt,overnight,10-30,0,0.0,0,Main course
Coconut prawn curry ,Vivek Singh,0-30,10-30,9,4.11,0,Main course
Coconut prawn curry with cauliflower 'rice',Sunil Vijayakar,0-30,10-30,7,4.86,0,Main course
Coconut prawn soup with toasted sesame oil and chilli,Phil Vickery,0-30,10-30,1,5.0,0,Light meals and snacks
Coconut prawns with spicy mango relish,Phil Vickery,0-30,0-10,0,0.0,0,Main course
Coconut rice,Jeremy Pang,0-30,0-10,1,3.0,Vegetarian,Side dishes
Coconut rice pudding with linseed cookies,Matt Tebbutt,0-30,30-60,3,3.67,Vegetarian,Desserts
"Coconut rice pudding with mango, orange and lime",Bill Granger,0-30,60-120,1,5.0,Vegetarian,Desserts
Coconut samosas,Nadiya Hussain,30-60,10-30,2,3.0,Vegetarian,Starters and nibbles
Coconut tart with passion fruit cream,James Martin,0-30,30-60,0,0.0,Vegetarian,Desserts
Coconut tart with spiced rum pineapple,Matt Tebbutt,1-20,60-120,0,0.0,Vegetarian,Cakes and baking
"Coconut, fennel and pistachio biscotti",Nadiya Hussain,0-30,30-60,1,5.0,Vegetarian,Cakes and baking
"Coconut, turmeric and yellow split pea soup",Izy Hossack,0-30,60-120,5,4.2,Vegetarian,Main course
Cod and chips with peas,Gino D'Acampo,0-30,10-30,0,0.0,0,Main course
Cod and chorizo orzo,James Martin,0-30,10-30,8,5.0,0,Main course
Cod and chorizo stew,Sarah Cook,0-30,30-60,2,4.5,0,Main course
Cod and chorizo with fennel,Jean-Christophe Novelli,0-30,10-30,1,1.0,0,Main course
Cod and parsley stuffed jacket potato,Nathan Outlaw,0-30,60-120,7,5.0,0,Light meals and snacks
Cod en papillote ,Mike Reid,0-30,10-30,4,5.0,0,Main course
Cod fish cakes ('frikadeller') with remoulade,Rick Stein,0-30,10-30,2,5.0,0,Main course
Cod gratin,Rick Stein,0-30,30-60,5,3.6,0,Main course
Cod in a pistachio and matcha crumb,The Gohil-Al-Sheikh Family,30-60,30-60,0,0.0,0,Main course
Cod in a rich tomato sauce with courgetti,Fiona Hunter,0-30,30-60,0,0.0,0,Main course
Cod in parsley sauce with cockles and mashed potato,Tom Kerridge,30-60,30-60,0,0.0,0,Main course
Cod with a prawn crust and buttery mash,Matt Tebbutt,30-60,10-30,4,3.75,0,Main course
Cod with confit lemon and zhoug,Glynn Purnell,0-30,10-30,4,5.0,0,Main course
Cod with lemon and capers ,Simon Rimmer,0-30,10-30,0,0.0,0,Main course
"Cod with new potatoes, broccoli and prawn bisque sauce",Q Double,0-30,10-30,0,0.0,0,Main course
Cod with parsley sauce and mash,Simon Rimmer,0-30,10-30,3,4.33,0,Main course
Codfish (klippfisk) soup,The Hairy Bikers,overnight,30-60,1,5.0,0,Light meals and snacks
Coffee and cardamom cake with pistachio cream,James Martin,0-30,10-30,7,4.29,Vegetarian,Cakes and baking
Coffee and chestnut meringue cake,James Martin,30-60,60-120,0,0.0,Vegetarian,Cakes and baking
Coffee and chocolate custard pots,Tom Kerridge,overnight,0-10,5,4.4,Vegetarian,Desserts
Coffee and chocolate popcorn,Matt Tebbutt,0-30,0-10,2,4.5,Vegetarian,Light meals and snacks
Coffee and chocolate sauce,Heston Blumenthal,30-60,0-10,0,0.0,Vegetarian,Desserts
Coffee and praline cake,Mary Berry,30-60,30-60,8,4.88,Vegetarian,Cakes and baking
Coffee and walnut battenberg cake ,Mary Berry,0-30,60-120,2,5.0,Vegetarian,Cakes and baking
Coffee and walnut cake,Simon Rimmer,0-30,30-60,59,3.76,Vegetarian,Cakes and baking
"Coffee cake with coffee buttercream, coffee glacé icing and candied walnuts",James Martin,0-30,30-60,2,3.0,Vegetarian,Cakes and baking
Coffee cake with coffee cream,Nigel Slater,0-30,30-60,16,4.69,Vegetarian,Cakes and baking
Coffee crème caramels,Paul Hollywood,overnight,30-60,2,3.0,Vegetarian,Desserts
Coffee granita,Simon Hopkinson,00-120,0,1,5.0,Vegetarian,Desserts
Coffee panna cotta with doughnuts and chocolate sauce,James Martin,00-120,00-120,0,0.0,Vegetarian,Desserts
Coffee parfait,Raymond Blanc,overnight,0,1,4.0,0,Desserts
Coffee walnut whips,Kitty Hope and Mark Greenwood,overnight,10-30,1,5.0,Vegetarian,Other
Coffee éclairs,James Martin,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
"Coffee, chocolate and sherry cake ",Matt Tebbutt,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Coffee-roasted carrots with honey beetroot and burrata,Elizabeth Haigh,0-30,30-60,0,0.0,Vegetarian,Main course
Cointreau cream,Antony Worrall Thompson,0-30,0-10,0,0.0,Vegetarian,Other
Colcannon,Hugh Fearnley-Whittingstall,0-30,10-30,1,5.0,0,Side dishes
Cold chicken and pepper risotto (risotto freddo di pollo),Gino D'Acampo,30-60,10-30,0,0.0,0,Main course
Coleslaw cucumber sticks,Neil Strawson and Richard Hunt,0-30,0,0,0.0,Vegetarian,Light meals and snacks
Coley with tarragon sauce vierge,James Martin,0-30,0-10,2,5.0,0,Main course
Compost fruit crumble,Nigel Slater,0-30,30-60,7,5.0,Vegetarian,Desserts
Compôte of glazed shallots,Delia Smith,0-30,60-120,0,0.0,Vegetarian,Other
Confit chicken wing with blue cheese mousse and pickled pumpkin,Michael Wignall,00-120,60-120,0,0.0,0,Starters and nibbles
Confit duck cassoulet,James Martin,0-30,10-30,1,2.0,0,Main course
Confit duck cassoulet with olive oil mash,James Martin,0-30,30-60,0,0.0,0,Main course
"Confit duck hash with a fried duck egg and celeriac, radish, pomegranate and truffle salad",Stephen Terry,0-30,00-120,0,0.0,0,Light meals and snacks
Confit duck leg with celeriac mash,James Martin,00-120,00-120,4,5.0,0,Main course
Confit duck tostadas,Andi Oliver,overnight,30-60,0,0.0,0,Main course
Confit duck with lentils and sugar-glazed carrots,Freddy Bird ,overnight,00-120,1,5.0,0,Main course
Confit of salmon with cucumber salad and horseradish cream,Raymond Blanc,1-20,30-60,1,4.0,0,Starters and nibbles
Confit salmon with pommes noisettes,The Hairy Bikers,30-60,10-30,0,0.0,0,Main course
Confit sardines with piperade and chives,Jason Atherton,overnight,10-30,1,5.0,0,Main course
Confit tomato and aubergine tarte tatin,Rick Stein,30-60,00-120,8,4.62,0,Main course
Confit turnips with mushroom consommé,Matt Tebbutt,0-30,00-120,0,0.0,Vegetarian,Main course
Contaldo family meat ragù,Gennaro Contaldo,0-30,00-120,0,0.0,0,Main course
Cookie dough,Annie Rigg,0-30,0-10,5,3.0,Vegetarian,Desserts
Cookies and cream cheesecake,Antony Worrall Thompson,overnight,0-10,0,0.0,0,Desserts
Cookies and cream cupcakes,Nikki Lilly,0-30,10-30,0,0.0,0,Cakes and baking
Cookies and cream fudge brownies,Lorraine Pascale,30-60,10-30,14,4.93,Vegetarian,Cakes and baking
Coq au Pouilly-Fumé,The Hairy Bikers,overnight,60-120,8,4.5,0,Main course
Coq au vin,Simon Hopkinson,overnight,60-120,19,4.79,0,Main course
Coq au vin rouge with rice and savoy cabbage,The Hairy Bikers,0-30,60-120,0,0.0,0,Main course
Coq au vin with crème fraîche mash,Bill Granger,0-30,30-60,9,4.67,0,Main course
Coq au vin with parsley mash,Adam Byatt,overnight,60-120,0,0.0,0,Main course
"Coquilles Saint Jacques with asparagus, leek and fennel",James Martin,0-30,60-120,0,0.0,0,Main course
Coquilles Saint Jacques à la Parisienne with taboulleh,Michel Roux,30-60,60-120,1,5.0,0,Starters and nibbles
Coriander baked sea bass with steamed purple sprouting broccoli and a coriander raita,James Martin,0-30,10-30,0,0.0,0,Main course
Coriander chicken and fennel seeds and rosemary pulled pork vol-au-vents,Tamal Ray,00-120,00-120,0,0.0,0,Starters and nibbles
Coriander fish curry with pilau rice and coriander flatbreads,James Martin,0-30,30-60,1,4.0,0,Main course
Coriander seared tuna on pickled bean sprouts,David Laris,0-30,10-30,0,0.0,0,Main course
"Corn and cod chowder with saffron, bacon and tomato",Paul Rankin,0-30,0-10,0,0.0,0,Recipe
"Corn and quinoa tamale, grilled vegetable salsa and marinated grilled chicken",Bruno Loubet,1-20,10-30,0,0.0,0,Main course
Corn on the cob with burnt-onion ketchup,Tom Kerridge,0-30,30-60,4,4.75,0,Side dishes
Corn on the cob with lime and cayenne butter,Paul Rankin,0-30,10-30,0,0.0,Vegetarian,Recipe
Corn pudding,Antony Worrall Thompson,0-30,60-120,0,0.0,Vegetarian,Side dishes
Corn skewers with chilli herb drizzle,Gino D'Acampo,0-30,10-30,0,0.0,Vegetarian,Recipe
Corn tortilla,Paul Hollywood,0-30,10-30,11,2.45,Vegetarian,Cakes and baking
Cornbread,Neneh Cherry and Andi Oliver,0-30,10-30,5,4.0,Vegetarian,Cakes and baking
Cornbread with spiced Cajun-style beans,Simon Rimmer,0-30,10-30,0,0.0,Vegetarian,Recipe
Corned beef and onion pie,The Hairy Bikers,30-60,30-60,5,5.0,0,Main course
Corned beef chilli,Jack Monroe,0-30,10-30,16,3.25,0,Main course
Corned beef hash ,Justine Pattison,0-30,10-30,18,4.17,0,Brunch
Corned beef hash with beer-battered onion rings,James Martin,0-30,10-30,1,5.0,0,Main course
Corned beef hash with fried egg ,Matthew Fort,0-30,10-30,0,0.0,0,Light meals and snacks
Corned beef hash with poached eggs,Momma Cherri,0-30,10-30,2,3.5,0,Brunch
Corned beef hotpot with runner beans,James Martin,0-30,60-120,0,0.0,0,Main course
Corned beef plate pie,Paul Hollywood,0-30,60-120,20,4.7,0,Main course
Cornish chilli crab,Jack Stein,0-30,10-30,0,0.0,0,Main course
Cornish fish stew,Nathan Outlaw,1-20,60-120,3,4.0,0,Main course
Cornish fish stew with garlic toast and aïoli,Jason Atherton,0-30,30-60,0,0.0,0,Light meals and snacks
"Cornish ling, grapefruit and prawn dressing, spiced quinoa and lemon yoghurt",Aggi Sverrisson,0-30,10-30,0,0.0,0,Main course
"Cornish salt pollack, squid and mussel stew",Nathan Outlaw,1-20,00-120,0,0.0,0,Main course
"Cornish shoulder of lamb, chilli salsa bruschetta and lemon verbena yoghurt",Paul Ainsworth,overnight,00-120,1,5.0,0,Light meals and snacks
Coronation chicken,The Hairy Bikers,0-30,10-30,16,4.81,0,Main course
Coronation prawn vol-au-vents,Simon Rimmer,0-30,10-30,2,5.0,0,Starters and nibbles
Cosmopolitan,Wayne Collins,0-30,0,0,0.0,Vegetarian,Drinks and cocktails
Cote de boeuf with wild mushroom and gnocchi gratin,Angela Hartnett,0-30,60-120,0,0.0,0,Main course
Cotswold pudding,Nigel Slater,0-30,10-30,0,0.0,Vegetarian,Side dishes
Cottage pie jacket potatoes ,Justine Pattison,0-30,30-60,2,5.0,0,Main course
Cottage pie to feed a crowd,The Hairy Bikers,0-30,00-120,0,0.0,0,Main course
Cottage pie with cheesy mash,The Hairy Bikers,0-30,60-120,20,4.0,0,Main course
Cottage pie with parsnips,James Martin,0-30,60-120,16,4.88,0,Main course
Cottage pie with peas,James Martin,0-30,60-120,4,5.0,0,Main course
Country captain chicken curry,Atul Kochhar,0-30,30-60,4,4.5,0,Main course
Country captain shepherd's pie,Cyrus Todiwala,0-30,00-120,1,5.0,0,Main course
Country ham omelette with red onion and plum relish,Lesley Waters,0-30,0-10,0,0.0,0,Recipe
Country vegetable soup with basil pistou,Mike Robinson,0-30,30-60,2,3.5,Vegetarian,Light meals and snacks
Courgette and broccoli quiche,James Martin,0-30,30-60,2,5.0,Vegetarian,Main course
Courgette and carrot salad,Simon Rimmer,0-30,10-30,0,0.0,Vegetarian,Recipe
Courgette and cheddar tart,Tom Kerridge,00-120,30-60,2,5.0,Vegetarian,Main course
Courgette and goats cheese salad,Hugh Fearnley-Whittingstall,0-30,0,0,0.0,Vegetarian,Recipe
Courgette and lemon risotto,James Martin,0-30,10-30,10,4.1,Vegetarian,Main course
Courgette and parmesan risotto with griddled squid,Gino D'Acampo,0-30,10-30,1,4.0,0,Main course
Courgette and thyme tagliatelle with langoustines,James Martin,1-20,10-30,0,0.0,0,Main course
Courgette cake,Valentine Warner,0-30,10-30,7,4.43,Vegetarian,Cakes and baking
Courgette flower and chard tart,The Hairy Bikers,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Courgette flowers stuffed with brandade de Nîmes,Rick Stein,overnight,10-30,0,0.0,0,Light meals and snacks
Courgette fritters,Rachel Phipps,0-30,0-10,36,4.31,Vegetarian,Light meals and snacks
Courgette fritters with marinara sauce,Lorraine Pascale,0-30,30-60,2,4.5,Vegetarian,Side dishes
Courgette fritters with smoked salmon and tzatziki,Donna Hay,0-30,30-60,3,4.33,0,Brunch
Courgette gratin,The Hairy Bikers,0-30,30-60,22,4.55,0,Light meals and snacks
Courgette pancakes with spiced Greek yoghurt,James Tanner,0-30,10-30,1,1.0,Vegetarian,Light meals and snacks
Courgette pancakes with tomato sauce,James Tanner,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Courgette pasta,Antony Worrall Thompson,0-30,10-30,0,0.0,Vegetarian,Recipe
Courgette pasta with spinach balls,Antonio Carluccio,0-30,10-30,22,4.86,Vegetarian,Main course
Courgette spaghetti,Rachel Phipps,0-30,10-30,4,4.75,Vegetarian,Main course
Courgette stalk “pasta” with hazelnut and herb pesto and Alpine cheese,Tommy Banks,0-30,10-30,0,0.0,0,Light meals and snacks
"Courgette, chilli and anchovy pasta",Neil Perry,0-30,10-30,4,4.25,0,Main course
"Courgette, tomato, olive and mozzarella tart",Alex Mackay,0-30,0-10,0,0.0,Vegetarian,Recipe
Courgetti bolognese,Hemsley + Hemsley,0-30,00-120,0,0.0,0,Main course
Courgetti with vegan pesto ,Hemsley + Hemsley,0-30,0,2,5.0,Vegetarian,Main course
Couscous salad ,Nargisse Benkabbou,0-30,0-10,4,5.0,Vegetarian,Main course
Couscous salad with pan-fried salmon,Richard Phillips,0-30,10-30,0,0.0,0,Main course
"Couscous with apricots, lemon and brazil nuts",Garrey Dawson,0-30,0-10,1,4.0,Vegetarian,Main course
Couscous with caramelised onions and wild mushrooms,Paul Rankin,0-30,0-10,0,0.0,Vegetarian,Main course
Couscous with red onion and herbs,Paul Rankin,0-30,10-30,1,5.0,Vegetarian,Main course
Couscous-coated goujons of salmon with warm tomato and herb salsa,Gino D'Acampo,0-30,10-30,1,5.0,0,Recipe
Cow crumble,Nigel Slater,0-30,00-120,0,0.0,0,Main course
Cowboy beans,The Hairy Bikers,0-30,30-60,6,4.33,0,Light meals and snacks
Cowboy meatballs,The Hairy Bikers,0-30,30-60,2,5.0,0,Main course
Crab and chilli tagliatelle,James Martin,overnight,10-30,0,0.0,0,Main course
Crab and cod fish cakes with tomato salsa,Mary Berry,30-60,30-60,5,5.0,0,Main course
Crab and coriander tart,Rachel Allen,30-60,30-60,0,0.0,0,Main course
Crab and courgette pasta,Hattie Ellis,0-30,0-10,3,5.0,0,Main course
Crab and ginger tart with a chilli dressing,Lesley Waters,30-60,30-60,0,0.0,0,Main course
Crab and langoustine bisque with crispy crab wontons,Glynn Purnell,0-30,30-60,0,0.0,0,Light meals and snacks
Crab and leek tart,The Hairy Bikers,0-30,30-60,2,5.0,0,Main course
Crab and lemon tagliolini,Francesco Mazzei,1-20,0-10,1,5.0,0,Starters and nibbles
Crab and lobster tart,Galton Blackiston,0-30,30-60,0,0.0,0,Main course
Crab and prawn ravioli with seafood bisque,The Charles Family,1-20,30-60,3,5.0,0,Recipe
Crab and salmon fishcakes with homemade tartare sauce,Sophie Dahl,30-60,30-60,3,3.67,0,Main course
Crab and salmon roll with brown crab ketchup,Mark Sargeant,0-30,10-30,1,4.0,0,Light meals and snacks
Crab and scallop Mornay,The Hairy Bikers,0-30,30-60,1,5.0,0,Starters and nibbles
Crab and sweetcorn soup,Simon Rimmer,0-30,10-30,1,5.0,0,Light meals and snacks
Crab broth with cod and crab fritters ,Matt Tebbutt,0-30,60-120,0,0.0,0,Main course
Crab cakes,Angela Hartnett,0-30,10-30,6,4.17,0,Starters and nibbles
Crab custard tart,Katie Davies,0-30,30-60,0,0.0,0,Starters and nibbles
Crab fishcakes with garlic mayo,Paul Rankin,30-60,0-10,0,0.0,0,Recipe
Crab fritters with a spiced sauce,Cyrus Todiwala,0-30,60-120,0,0.0,0,Main course
Crab lasagne,Galton Blackiston,00-120,30-60,0,0.0,0,Main course
Crab linguine,Angela Hartnett,0-30,10-30,4,5.0,0,Main course
Crab pancakes,Tom Kitchin,0-30,10-30,4,4.0,0,Light meals and snacks
Crab patties with mizuna salad and chilli dressing,James Martin,0-30,0-10,0,0.0,0,Main course
Crab rarebit ,James Martin,0-30,30-60,0,0.0,0,Main course
Crab rarebit with fries and a Little Gem salad,James Martin,30-60,10-30,0,0.0,0,Main course
"Crab rarebit, spiced crab butter, hazelnut and beurre noisette salad",Simon Hulstone,0-30,10-30,0,0.0,0,Light meals and snacks
"Crab ravioli with mussel with potato mariniere, wilted spinach and caviar",Mark Jordan,30-60,60-120,0,0.0,0,Main course
Crab salad,Nigel Slater,0-30,0,0,0.0,0,Light meals and snacks
Crab salad on dill crispbreads,Matt Tebbutt,0-30,0-10,0,0.0,0,Light meals and snacks
Crab salad with deep-fried crab 'bon bons' and smoked bacon aioli,Matt Tebbutt,0-30,60-120,0,0.0,0,Light meals and snacks
Crab scones with fennel slaw,Matt Tebbutt,30-60,10-30,0,0.0,0,Light meals and snacks
Crab spaghetti in a tomato and caper sauce ,The Hairy Bikers,0-30,10-30,0,0.0,0,Main course
Crab tart,Galton Blackiston,0-30,60-120,1,4.0,0,Light meals and snacks
Crab tortellini with a lemongrass and ginger sauce and wilted spinach,James Martin,30-60,10-30,1,5.0,0,Main course
Crab with mango and avocado salad,Levi Roots,0-30,0,2,5.0,0,Starters and nibbles
Crab with wakame salad and wasabi mayonnaise,Rick Stein,0-30,0-10,0,0.0,0,Starters and nibbles
"Crab, ginger and rocket sushi rolls",Matt Tebbutt,1-20,0-10,0,0.0,0,Light meals and snacks
"Crab, mango, lime and chilli salad",Angela Hartnett,0-30,0,0,0.0,0,Light meals and snacks
Crabcakes with a rice noodle salad,James Martin,0-30,10-30,0,0.0,0,Main course
"Crabcakes with a tomato, crab and basil dressing",Rick Stein,0-30,00-120,0,0.0,0,Main course
Crabcakes with chilli sauce,James Martin,30-60,10-30,0,0.0,0,Starters and nibbles
Crackle top bread,Lorraine Pascale,30-60,10-30,2,5.0,Vegetarian,Cakes and baking
Crackling pork belly,Nigel Slater,overnight,60-120,1,5.0,0,Main course
Cranachan,Mary Berry,0-30,0-10,9,4.56,Vegetarian,Desserts
Cranachan cheesecake,Paul Hollywood,30-60,00-120,2,5.0,0,Cakes and baking
Cranachan with raspberry sauce,James Martin,0-30,0,0,0.0,Vegetarian,Desserts
Cranberry and chilli brioche wreath,Nadiya Hussain,overnight,10-30,2,5.0,0,Cakes and baking
Cranberry and coconut energy bars,Mary Berry,00-120,0-10,6,4.17,Vegetarian,Cakes and baking
Cranberry and grape focaccia,Catherine Fulvio,00-120,30-60,1,5.0,Vegetarian,Side dishes
Cranberry and orange bagels,Cathryn Dresser,1-20,10-30,0,0.0,Vegetarian,Cakes and baking
Cranberry and orange marshmallows,Martha Collison,0-30,30-60,0,0.0,0,Desserts
Cranberry and orange sweet soda bread,Paul Jagger,0-30,30-60,3,3.33,Vegetarian,Cakes and baking
Cranberry and orange trifle,James Martin,0-30,10-30,1,4.0,Vegetarian,Desserts
Cranberry and pheasant sausage rolls,Matt Tebbutt,1-20,10-30,1,5.0,0,Light meals and snacks
Cranberry mincemeat,Jill Dupleix,0-30,10-30,0,0.0,Vegetarian,Other
"Cranberry, sage and sourdough stuffing",Paul Ainsworth,0-30,10-30,0,0.0,Vegetarian,Side dishes
Cranberry-studded mincemeat,Nigella Lawson,0-30,30-60,0,0.0,Vegetarian,Other
Crayfish chowder,The Hairy Bikers,30-60,60-120,0,0.0,0,Main course
Crayfish cocktail with melba toast,James Martin,0-30,10-30,0,0.0,0,Starters and nibbles
Crayfish with truffle butter,The Hairy Bikers,0-30,10-30,0,0.0,0,Main course
Cream and mushroom stuffed pancakes,Gino D'Acampo,0-30,10-30,0,0.0,Vegetarian,Recipe
Cream cheese frosting,William Leigh,0-30,0,6,3.5,Vegetarian,Cakes and baking
Cream of Jerusalem artichoke soup,Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Cream of broccoli and Stilton soup,Brian Turner,0-30,10-30,2,5.0,Vegetarian,Light meals and snacks
Cream of broccoli soup,Brian Turner,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Cream of celeriac soup with pan-fried curried scallops,James Martin,0-30,10-30,0,0.0,0,Light meals and snacks
Cream roasted swede soup,Antony Worrall Thompson,0-30,30-60,7,4.57,Vegetarian,Light meals and snacks
Creamed cauliflower and Stilton soup,Curtis Stone,0-30,0-10,5,4.0,0,Light meals and snacks
Creamed flageolet bruschetta,Brian Turner,0-30,0-10,0,0.0,Vegetarian,Recipe
Creamed leek crostini with bacon and poached eggs,James Tanner,0-30,10-30,0,0.0,0,Main course
Creamed leeks,James Martin,0-30,10-30,3,5.0,0,Main course
Creamed leeks with pork and new potatoes,Antony Worrall Thompson,0-30,10-30,0,0.0,0,Main course
Creamed spinach soup with nutmeg,Brian Turner,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Creamed spinach with nutmeg and garlic,Phil Vickery,0-30,10-30,2,5.0,Vegetarian,Recipe
Creamed sprouts with Stilton and penne pasta,Matt Tebbutt,0-30,0-10,0,0.0,Vegetarian,Side dishes
Creamy Brussels sprouts,Justine Pattison,0-30,10-30,6,5.0,Vegetarian,Side dishes
Creamy broccoli and Stilton soup,Brian Turner,0-30,10-30,1,5.0,Vegetarian,Recipe
Creamy butternut squash soup,Paul Rankin,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Creamy carrot and coriander soup,Brian Turner,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Creamy cauliflower cheese,Rose Elliott,0-30,10-30,1,5.0,Vegetarian,Main course
Creamy celeriac soup ,James Martin,0-30,10-30,15,4.8,0,Light meals and snacks
Creamy cheese and pea soufflés,Gino D'Acampo,0-30,0-10,0,0.0,Vegetarian,Recipe
Creamy chicken korma,Jo Pratt,0-30,10-30,49,4.86,0,Main course
Creamy chicken pasta,Rachel Phipps,0-30,10-30,32,2.94,0,Main course
"Creamy chicken, bacon and basil pasta",James Tanner,0-30,10-30,20,4.8,0,Main course
